,Unnamed: 0,date,event,map,team_1,team_2
8547,8547.0,30/3/22,ESEA Advanced Season 40 North America,['Mirage'],Kinship (11),Philadelphia Liberty (16)
8548,8548.0,30/3/22,ESL Challenger League Season 40 North America,['Nuke'],Orgless (14),MIBR (16)
8549,8549.0,30/3/22,ESL Challenger League Season 40 North America,['Overpass'],paiN (16),Party Astronauts (6)
8550,8550.0,30/3/22,ESL Challenger League Season 40 North America,['Inferno'],Carpe Diem (16),Gaimin Gladiators (11)
8551,8551.0,30/3/22,ESL Challenger League Season 40 North America,['Ancient'],MIBR (16),Orgless (13)
8552,8552.0,29/3/22,ESEA Advanced Season 40 Europe,['Inferno'],ALTERNATE aTTaX (14),AVE (16)
8553,8553.0,29/3/22,ESEA Advanced Season 40 Europe,['Ancient'],ALTERNATE aTTaX (11),AVE (16)
8554,8554.0,29/3/22,ESEA Advanced Season 40 Europe,['Overpass'],AVE (10),ALTERNATE aTTaX (16)
8555,8555.0,29/3/22,ESL Challenger League Season 40 Europe,['Inferno'],ECSTATIC (12),Falcons (16)
8556,8556.0,29/3/22,ESL Challenger League Season 40 Europe,['Nuke'],ECSTATIC (16),Falcons (7)
8557,8557.0,29/3/22,ESL Challenger League Season 40 Europe,['Vertigo'],Falcons (16),ECSTATIC (11)
8558,8558.0,29/3/22,ESEA Advanced Season 40 Europe,['Mirage'],ONYX (14),Run or Die (16)
8559,8559.0,29/3/22,ESEA Advanced Season 40 Europe,['Nuke'],Run or Die (16),ONYX (10)
8560,8560.0,29/3/22,ESL Challenger League Season 40 Europe,['Mirage'],1WIN (16),Finest (7)
8561,8561.0,29/3/22,ESL Challenger League Season 40 Europe,['Overpass'],Finest (13),1WIN (16)
8562,8562.0,29/3/22,Elisa Invitational Spring 2022 Contenders,['Ancient'],Lilmix (16),MAD Lions (6)
8563,8563.0,29/3/22,Elisa Invitational Spring 2022 Contenders,['Overpass'],MAD Lions (16),Lilmix (19)
8564,8564.0,29/3/22,Elisa Invitational Spring 2022 Contenders,['Dust2'],KOVA (16),Astralis Talent (13)
8565,8565.0,29/3/22,Elisa Invitational Spring 2022 Contenders,['Mirage'],Astralis Talent (12),KOVA (16)
8566,8566.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Nuke'],TheMongolz (16),NKT (14)
8567,8567.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Dust2'],NKT (13),TheMongolz (16)
8568,8568.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Nuke'],CatEvil (1),IHC (16)
8569,8569.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Inferno'],IHC (16),CatEvil (5)
8570,8570.0,29/3/22,LPL Pro League Season 10,['Inferno'],Nut-E (16),ex-FURY (12)
8571,8571.0,29/3/22,LPL Pro League Season 10,['Overpass'],Nut-E (17),ex-FURY (19)
8572,8572.0,29/3/22,LPL Pro League Season 10,['Dust2'],ex-FURY (14),Nut-E (16)
8573,8573.0,29/3/22,LPL Pro League Season 10,['Inferno'],1620 Kings (16),Bandits (13)
8574,8574.0,30/3/22,ESL Challenger League Season 40 North America,['Overpass'],ATK (12),Strife (16)
8575,8575.0,30/3/22,ESL Challenger League Season 40 North America,['Nuke'],Party Astronauts (10),paiN (16)
8576,8576.0,29/3/22,ESEA Advanced Season 40 Europe,['Ancient'],ECLOT (13),FAMBIT (16)
8577,8577.0,29/3/22,ESEA Advanced Season 40 Europe,['Mirage'],FAMBIT (14),ECLOT (16)
8578,8578.0,29/3/22,ESEA Advanced Season 40 Europe,['Vertigo'],ECLOT (11),FAMBIT (16)
8579,8579.0,29/3/22,ESL Challenger League Season 40 Europe,['Ancient'],Entropiq (13),SAW (16)
8580,8580.0,29/3/22,ESL Challenger League Season 40 Europe,['Overpass'],SAW (11),Entropiq (16)
8581,8581.0,29/3/22,ESL Challenger League Season 40 Europe,['Nuke'],Entropiq (16),SAW (19)
8582,8582.0,29/3/22,ESL Challenger League Season 40 Europe,['Inferno'],Wisla Krakow (9),HEET (16)
8583,8583.0,29/3/22,ESL Challenger League Season 40 Europe,['Overpass'],HEET (16),Wisla Krakow (10)
8584,8584.0,29/3/22,ESEA Advanced Season 40 Europe,['Dust2'],MASONIC (16),Singularity (12)
8585,8585.0,29/3/22,ESEA Advanced Season 40 Europe,['Ancient'],Singularity (11),MASONIC (16)
8586,8586.0,29/3/22,Pinnacle Cup III,['Nuke'],SKADE (16),Copenhagen Flames (6)
8587,8587.0,29/3/22,Pinnacle Cup III,['Overpass'],Copenhagen Flames (4),SKADE (16)
8588,8588.0,29/3/22,Pinnacle Cup III,['Nuke'],SKADE (16),Tricked (14)
8589,8589.0,29/3/22,Pinnacle Cup III,['Mirage'],Tricked (5),SKADE (16)
8590,8590.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Inferno'],Rare Atom (16),Moon (5)
