,Unnamed: 0,team,points,players,date_start
9382,9382.0,['EC Kyiv'],['(15 points)'],"['uQlutzavr', 'Smash', 'byr9', 's4ltovsk1yy', 'amster']",6/12/2021
9383,9383.0,['Run or Die'],['(11 points)'],"['Psycho', 'SENSEi', 'nat1ve', 'j3kie', 'Kvem']",6/12/2021
9384,9384.0,['okura'],['(5 points)'],"['t0kk', 'neiter2k', 'm1she4ka']",6/12/2021
9385,9385.0,['B8'],['(3 points)'],"['cptkurtka023', 'DemQQ', 'kr1vda', 'Hkta', 'r1nkle']",6/12/2021
9386,9386.0,['Leo'],['(2 points)'],"['fenny', 'sleiden', 'Maha', 'muR', 'eightz999']",6/12/2021
9387,9387.0,['Sestri'],['(1 points)'],"['morex', 'sashqua', 'Malkiss']",6/12/2021
9388,9388.0,['TYLOO'],['(26 points)'],"['Summer', 'Attacker', 'somebody', 'SLOWLY', 'DANK1NG']",6/12/2021
9389,9389.0,['Lynn Vision'],['(13 points)'],"['expro', 'Westmelon', 'z4kr', 'Roninbaby', 'Starry']",6/12/2021
9390,9390.0,['ViCi'],['(5 points)'],"['advent', 'zhokiNg', 'aumaN', 'Kaze', 'JamYoung']",6/12/2021
9391,9391.0,['After'],['(1 points)'],"['Marek', '0i', 'WANGJ', 'MAD', 'Yz1am']",6/12/2021
9392,9392.0,['NSN'],['(0 points)'],"['Freeman', 'xiaoye', 'DASH', 'Risk', 'aristo']",6/12/2021
9393,9393.0,['Checkmate'],['(6 points)'],"['hasteka', 'cool4st', 'Bart4k', 'bLitz', 'Techno']",6/12/2021
9394,9394.0,['D13'],['(5 points)'],"['tamir', 'shinobi', 'Annihilation', 'yAmi', 'xerolte']",6/12/2021
9395,9395.0,['Renewal'],['(4 points)'],"['dobu', 'kabal', 'NEUZ', 'nin9', 'rate']",6/12/2021
9396,9396.0,['ARAVT'],['(1 points)'],"['ROUX', 'Jin', 'ariucle', 'Tugu', 'controlez']",6/12/2021
9397,9397.0,['TBC'],['(0 points)'],"['MagnumZ', 'Senzu', 'mzinho', 'starDUST', 'fury5k']",6/12/2021
9398,9398.0,['Renegades'],['(30 points)'],"['Sico', 'aliStair', 'INS', 'Hatz', 'malta']",6/12/2021
9399,9399.0,['Looking For Org'],['(15 points)'],"['ap0c', 'sterling', 'hazr', 'Liki', 'SaVage']",6/12/2021
9400,9400.0,['ORDER'],['(11 points)'],"['Rickeh', 'USTILO', 'J1rah', 'Valiance', 'Vexite']",6/12/2021
9401,9401.0,['VERTEX'],['(7 points)'],"['BRACE', 'apocdud', 'pz', 'Roflko', 'ADDICT']",6/12/2021
9402,9402.0,['Paradox'],['(7 points)'],"['dangeR', 'chelleos', 'Rackem', 'DannyG', 'nettik']",6/12/2021
9403,9403.0,['Overt'],['(5 points)'],"['SkulL', 'ObZen', 'rekonz', 'damyo', 'Fiend']",6/12/2021
9404,9404.0,['Caught off Guard'],['(4 points)'],"['kibstar', 'viridian', 'kayoh', 'BaN4na', 'Terryyy']",6/12/2021
9405,9405.0,['8Ballers'],['(4 points)'],"['Prodigy', 'bogeymanh', 'Kobe', 'Shoey', 'JoolzCheat']",6/12/2021
9406,9406.0,['yellow'],['(3 points)'],"['cookie', 'yellow', 'cheeseball', 'nauh', 'forevint']",6/12/2021
9407,9407.0,['Dynasty'],['(3 points)'],"['yourwombat', 'swede', 'versa', 'nexar', 'rhys']",6/12/2021
9408,9408.0,['Bandits'],['(3 points)'],"['SWANKY', 'nibke', 'tomo', 'Froz', 'mchun14']",6/12/2021
9409,9409.0,['ex-FURY'],['(3 points)'],"['toM', 'oliff', 'callum_murray', 'bandit', 'tallaj']",6/12/2021
9410,9410.0,['Collateral'],['(2 points)'],"['Screts', 'antwon', 'Zym', 'rayn', 'streaty']",6/12/2021
9411,9411.0,['Kanga'],['(2 points)'],"['DANZ', 'm0nt', 'Edlinn', 'TjP', 'Sliimey']",6/12/2021
9412,9412.0,['Alke'],['(2 points)'],"['cl0ver', 'Mr Shark', 'Oily', 'slipary', 'Velocity']",6/12/2021
9413,9413.0,['Apocalypse'],['(1 points)'],"['end[R]', 'jayketh', 'Craftyy', 'harbor', 'ep1phany']",6/12/2021
9414,9414.0,['ex-Lese'],['(1 points)'],"['kyson', 'Mes', 'deqny', 'Archie', 'supar']",6/12/2021
9415,9415.0,['Nebula'],['(0 points)'],"['KStaar', 'ZILLA', 'Anima', 'Josh', 'kayoh']",6/12/2021
9416,,['Liquid'],['(169 points)'],"['FalleN', 'NAF', 'EliGE', 'Stewie2K', 'Grim']",29/11/2021
9417,,['Party Astronauts'],['(31 points)'],"['djay', 'ben1337', 'Infinite', 'PwnAlone', 'cynic']",29/11/2021
9418,,['Bad News Bears'],['(21 points)'],"['Spongey', 'Shakezullah', 'junior', 'Swisher', 'Bwills']",29/11/2021
9419,,['RBG'],['(12 points)'],"['Walco', 'wiz', 'jitter', 'HexT', 'chop']",29/11/2021
9420,,['Triumph'],['(9 points)'],"['RZU', 'xCeeD', 'cxzi', 'viz', 'grape']",29/11/2021
9421,,['ChocoCheck'],['(9 points)'],"['JazzPimp', 'XotiC', 'nosraC', 'CLASIA', 'jeorgesnorts']",29/11/2021
9422,,['Strife'],['(9 points)'],"['brett', 'stamina', 'J0LZ', 'SATURN', 'SLIGHT']",29/11/2021
9423,,['Springroll'],['(7 points)'],"['GRAHAM', 'taiwi', 'garret', 'Tender']",29/11/2021
9424,,['ONET4P'],['(7 points)'],"['Just2EZ', 'walker', 'JDubs', 'Elk', 'Fr3nk1e']",29/11/2021
9425,,['Detonate'],['(6 points)'],"['Swahn', 'Delta9', 'Ghostii', 'silas', 'Sutter']",29/11/2021
9426,,['Eros'],['(6 points)'],"['shutout', 'freshie', 'BeaKie', 'omniscient', 'JTMythic']",29/11/2021
9427,,['Northern Forces'],['(5 points)'],"['Wilky', 'EllisoN', 'D4rtyMontana', 'JAM', 'sam']",29/11/2021
9428,,['InControl'],['(5 points)'],"['krotomo', 'hyza', 'STRiiDER', 'Andrew', 'clipsanity']",29/11/2021
9429,,['Limitless'],['(5 points)'],"['Cryptic', 'consti', 'ayy', 'Umar', 'Jason']",29/11/2021
9430,,['PG'],['(3 points)'],"['Louie', 'captai', 'Nixs', 'Arktos', 'Joshyy']",29/11/2021
9431,,['Big Chillin'],['(3 points)'],"['hate', 'dvl', 'Munk', 'Xzen', 'Melloh']",29/11/2021
9432,,['X13'],['(1 points)'],"['aris', 'Jonesy', 'Makzwell', 'scar', 'Lemonz']",29/11/2021
9433,,['Third Impact'],['(1 points)'],"['Danejoris', 'JoJo', 'Wolffe', 'insane', 'AJaxz']",29/11/2021
9434,,['All Gas No Brakes'],['(1 points)'],"['Stx', 'NICKHALDEN', 'davd', 'febreeze']",29/11/2021
9435,,['Levitate'],['(0 points)'],"['micro', 'Drewtheshrew', 'bootylord', 'Feral']",29/11/2021
9436,,['Valors'],['(0 points)'],"['droid', 'robby', 'WOOHOO', 'Calix', 'Pluto']",29/11/2021
9437,,['Leviatan'],['(9 points)'],"['reversive', 'DILLION1', '1962', 'Yokowow', 'tom1jed']",29/11/2021
9438,,['River Plate'],['(5 points)'],"['minimal', 'arieldidi', 'MRN1', 'guidimon', 'atarax1a']",29/11/2021
